01,03,Animal Control*
04,06,Clairaudience
07,09,Clairvoyance
10,12,Climbing
13,15,Delusion**
16,18,Dimunition,
19,20,Dragon Control*
21,23,ESP
24,26,Extra-Healing
27,29,Fire Resistance
30,32,Flying
33,34,Gaseous Form
35,36,Giant Control*
37,39,Giant Strength*(F)
40,41,Growth
42,47,Healing
48,49,Heroism (F)
50,51,Human Control*
52,54,Invisibility
55,57,Invulnerability (F)
58,60,Levitation
61,63,Longevity
64,66,Oil of Etherealness
67,69,Oil of Slipperiness
70,72,Philter of Love
73,75,Philter of Persuasiveness
76,78,Plant Control
79,81,Polymorph self
82,84,Poison**
85,87,Speed
88,90,Super-Heroism (F)
91,93,Sweet Water
94,96,Treasure Finding
97,97,Undead Control*
98,100,Water Breathing
